,MovieRating,DirectorRating,MovieTitle,startYear,class,scaledVotes,decade,Directors
97,5.3,6.25,Voodoo Man,1944,Movie Rating < Director Rating,1.0433033541166077,1940,William Beaudine
98,5.7,6.2,False Faces,1943,Movie Rating < Director Rating,1.0008149941176274,1940,George Sherman
99,6.0,5.8000000000000025,Apology for Murder,1945,Movie Rating > Director Rating,1.011898914117361,1940,Sam Newfield
100,6.1,5.9499999999999975,The Return of October,1948,Movie Rating > Director Rating,1.0093995988233038,1940,Joseph H. Lewis
101,5.9,5.8000000000000025,The Ghosts of Berkeley Square,1947,Movie Rating > Director Rating,1.0143438964702438,1940,Vernon Sewell
102,7.3,6.6083333333333325,Adventures of Captain Marvel,1941,Movie Rating > Director Rating,1.0597662352926829,1940,William Witney/John English
103,6.2,6.400000000000001,Prairie Gunsmoke,1942,Movie Rating < Director Rating,1.0004889964705763,1940,Lambert Hillyer
104,6.0,6.1,Brooklyn Orchid,1942,Movie Rating < Director Rating,1.0045096341175388,1940,Kurt Neumann
105,6.2,6.75,Dead Man's Gulch,1943,Movie Rating < Director Rating,1.001629988235255,1940,John English
106,6.0,5.9,Gun Smugglers,1948,Movie Rating > Director Rating,1.0058136247057428,1940,Frank McDonald
107,6.3,6.62,An Innocent Affair,1948,Movie Rating < Director Rating,1.0128225741173391,1940,Lloyd Bacon
108,5.6,5.85,My Kingdom for a Cook,1943,Movie Rating < Director Rating,1.0057049588233924,1940,Richard Wallace
109,6.0,6.35,The Desert Song,1943,Movie Rating < Director Rating,1.0126052423526386,1940,Robert Florey
110,5.9,5.8000000000000025,Billy the Kid's Range War,1941,Movie Rating > Director Rating,1.00325997647051,1940,Sam Newfield
111,6.6,5.675,Tarzan's New York Adventure,1942,Movie Rating > Director Rating,1.1662587999960081,1940,Richard Thorpe
112,7.0,5.8000000000000025,Danger! Women at Work,1943,Movie Rating > Director Rating,1.002336316470532,1940,Sam Newfield
113,6.1,5.85,Adventure in Baltimore,1949,Movie Rating > Director Rating,1.021950508234767,1940,Richard Wallace
114,5.4,6.174999999999999,Zombies on Broadway,1945,Movie Rating < Director Rating,1.0387393870578934,1940,Gordon Douglas
115,5.3,5.8000000000000025,Fugitive of the Plains,1943,Movie Rating < Director Rating,1.0037489729410864,1940,Sam Newfield
116,7.0,6.95,The Devil's Playground,1946,Movie Rating > Director Rating,1.0073349470586477,1940,George Archainbaud
117,6.6,5.675,Malaya,1949,Movie Rating > Director Rating,1.0590055741162303,1940,Richard Thorpe
118,6.6,6.65,It Had to Be You,1947,Movie Rating < Director Rating,1.034012421175654,1940,Rudolph Maté
119,7.2,7.466666666666666,One Wonderful Sunday,1947,Movie Rating < Director Rating,1.1472422705847,1940,Akira Kurosawa
120,6.6,6.62,Sunday Dinner for a Soldier,1944,Movie Rating < Director Rating,1.015321889411397,1940,Lloyd Bacon
