,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,genres1
9584,tt8907932,movie,Kuasha jakhon,Kuasha jakhon,0,2018,104,"Drama,Horror,Mystery",8.1,239,Drama
9591,tt4896898,movie,Chasse-Galerie,Chasse-Galerie,0,2016,109,"Horror,Thriller",6.8,290,Horror
9592,tt1950327,movie,Solar Adventure,Roboteuwang Sseonsyakeu,0,1985,62,"Action,Animation,Sci-Fi",3.9,43,Action
9597,tt0114814,movie,The Usual Suspects,The Usual Suspects,0,1995,106,"Crime,Mystery,Thriller",8.5,980698,Crime
9599,tt5133308,movie,At the End of the Tunnel,Al final del túnel,0,2016,120,"Crime,Drama,Thriller",7.1,11968,Crime
9600,tt0213847,movie,Malena,Malèna,0,2000,108,"Comedy,Drama,Romance",7.5,89261,Comedy
9602,tt0373093,movie,Limelight,Limelight,0,2003,90,Comedy,8.8,8,Comedy
9608,tt0382574,movie,Bob's Night Out,Bob's Night Out,0,2004,120,Comedy,6.4,9,Comedy
9609,tt0019553,movie,The Way of All Flesh,The Way of All Flesh,0,1927,94,Drama,6.4,134,Drama
9610,tt0410436,movie,The People's Story,The People's Story,0,2000,56,"Documentary,History",8.9,12,Documentary
9611,tt6464888,movie,Prison Sisters,Prison Sisters,0,2016,90,Documentary,7.1,65,Documentary
9619,tt8391976,movie,Bungo Stray Dogs: Dead Apple,Bungou Stray Dogs: Dead Apple,0,2018,92,Animation,7.2,593,Animation
9620,tt0082407,movie,Fracchia la belva umana,Fracchia la belva umana,0,1981,99,"Comedy,Family",6.7,1527,Comedy
9623,tt0114558,movie,Strange Days,Strange Days,0,1995,145,"Action,Crime,Drama",7.2,66685,Action
9624,tt0129387,movie,There's Something About Mary,There's Something About Mary,0,1998,119,"Comedy,Romance",7.1,288665,Comedy
9625,tt10770904,movie,Yerba Buena,Yerba Buena,0,2020,95,Comedy,6.7,19,Comedy
9631,tt0125459,movie,Pitch,Pitch,0,1997,81,Documentary,6.4,681,Documentary
9633,tt1885325,movie,Beyond the Darkness,Heaven's War,0,2018,95,"Fantasy,Thriller",4.2,196,Fantasy
9638,tt0056267,movie,My Geisha,My Geisha,0,1962,119,"Comedy,Drama,Romance",6.6,1290,Comedy
9641,tt7043176,movie,Long Time Running,Long Time Running,0,2017,97,"Documentary,Music",7.8,401,Documentary
